Using Techfile: /home/egor/openlane/pdks/sky130A/libs.tech/klayout/sky130A.lyt
Using layout file: /openLANE_flow/designs/sm_cpu/runs/20-05_20-11/results/klayout/sm_cpu.xor.gds
[INFO] Reading tech file: /home/egor/openlane/pdks/sky130A/libs.tech/klayout/sky130A.lyt
[INFO] Reading Layout file: /openLANE_flow/designs/sm_cpu/runs/20-05_20-11/results/klayout/sm_cpu.xor.gds
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=1787654, record number=135599, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=1836726, record number=135604, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=5857574, record number=420039, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=11683718, record number=707754, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=25824950, record number=1715129, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=25915446, record number=1715204, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26013718, record number=1715534, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26088598, record number=1715699, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26185750, record number=1715814, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26240198, record number=1715974, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26284326, record number=1715994, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26377766, record number=1716079, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26433814, record number=1716094, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26503174, record number=1716204, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26556934, record number=1716229, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26614182, record number=1716364, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26668774, record number=1716374, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26710422, record number=1716419, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26802598, record number=1716509, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26928902, record number=1716904, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=26972406, record number=1716924, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=27122982, record number=1717244, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=27175190, record number=1717284, cell=XOR)
